[Reporting] 88	31.14
[Reporting] 8	88	28.23
[Reporting] 9	88	28.19
[Reporting] 10	88	26.3
[Reporting] 11	88	27.15
[Reporting] 12	88	26.94
[Reporting] 13	88	26.8
[Reporting] 14	88	26.74
[Reporting] 15	88	26.29
[Reporting] 16	88	26.03
[Reporting] 17	88	23.8
[Reporting] 18	88	23.69
[Reporting] 19	88	23.68
[Reporting] 20	88	23.39
[Reporting] 21	88	19.49
[Reporting] 22	88	19.43
[Reporting] 23	88	19.39
[Reporting] 24	88	19.39
[Reporting] 25	88	19.42
[Reporting] 26	88	19.47
[Reporting] 27	88	19.45
[Reporting] 28	88	19.41
[Reporting] 29	88	19.36
[Reporting] 30	88	15.78
[Reporting] 31	88	15.63
[Reporting] 32	88	14.0
[Reporting] 33	88	14.0
[Reporting] 34	88	13.91
[Reporting] 35	88	13.92
[Reporting] 36	88	13.93
[Reporting] 37	88	13.89
[Reporting] 38	88	13.92
[Reporting] 39	88	13.94
[Reporting] 40	88	13.74
[Reporting] 41	88	13.74
[Reporting] 42	88	13.74
[Reporting] 43	88	12.61
[Reporting] 44	88	12.56
[Reporting] 45	88	12.63
[Reporting] 46	88	12.62
[Reporting] 47	88	12.62
[Reporting] 48	88	12.64
[Reporting] 49	88	12.64
[Reporting] 50	88	12.63
[Reporting] 51	88	12.59
[Reporting] 52	88	12.59
[Reporting] 53	88	12.59
[Reporting] 54	88	12.59
[Reporting] 55	88	12.59
[Reporting] 56	88	12.4
[Reporting] 57	88	12.36
[Reporting] 58	88	12.45
[Reporting] 59	88	12.62
[Reporting] 60	88	12.72
[Reporting] 61	88	12.62
[Reporting] 62	88	12.54
[Reporting] 63	88	12.54
[Reporting] 64	88	12.52
[Reporting] 65	88	12.52
[Reporting] 66	88	12.54
[Reporting] 67	88	12.49
[Reporting] 68	88	12.4
[Reporting] 69	88	12.39
[Reporting] 70	88	12.38
[Reporting] 71	88	12.28
[Reporting] 72	88	12.28
[Reporting] 73	88	12.28
[Reporting] 74	88	12.27
[Reporting] 75	88	12.27
[Reporting] 76	88	9.85
[Reporting] 77	88	9.85
[Reporting] 78	88	9.86
[Reporting] 79	88	9.86
[Reporting] 80	88	9.86
[Reporting] 81	88	9.86
[Reporting] 82	88	9.85
[Reporting] 83	88	9.85
[Reporting] 84	88	9.89
[Reporting] 85	88	9.88
[Reporting] 86	88	9.8
[Reporting] 87	88	9.8
[Reporting] 88	88	9.39
[Reporting] 89	88	9.39
[Reporting] 90	88	9.37
[Reporting] 91	88	9.32
[Reporting] 92	88	9.2
[Reporting] 93	88	9.17
[Reporting] 94	88	9.18
[Reporting] 95	88	6.99
[Reporting] 96	88	7.0
[Reporting] 97	88	7.0
[Reporting] 98	88	6.97
[Reporting] 99	88	6.97
[Reporting] 100	88	6.97
[Reporting] 101	88	6.98
[Reporting] 102	88	6.7
[Reporting] 103	88	6.7
[Reporting] 104	88	6.7
[Reporting] 105	88	6.67
[Reporting] 106	88	6.67
[Reporting] 107	88	3.56
[Reporting] 108	88	3.18
[Reporting] 109	88	3.07
[Reporting] 110	88	2.99
[Reporting] 111	88	2.99
[Reporting] 112	88	2.99
[Reporting] 113	88	2.89
[Reporting] 114	88	2.88
[Reporting] 115	88	2.86
[Reporting] 116	88	2.87
[Reporting] 117	88	2.89
[Reporting] 118	88	2.77
[Reporting] 119	88	2.77
[Reporting] 120	88	2.77
[Reporting] 121	88	2.83
[Reporting] 122	88	2.85
[Reporting] 123	88	2.93
[Reporting] 124	88	2.87
[Reporting] 125	88	2.82
[Reporting] 126	88	2.82
